Gesture_Sequence,Natural_Sentence
Goodbye+Help+Sorry,Goodbye. I need assistance. And I am sorry.
Goodbye+Help+Stop,Goodbye. I need your help. Please stop.
Goodbye+Help+Wait,Goodbye. I need your help. Please wait a moment.
Goodbye+Help+Hungry,Goodbye. Please assist me. I'm hungry.
Goodbye+Help+Water,Goodbye. I need assistance. I need water.
Goodbye+Help+Pain,Goodbye. Please help me. It hurts.
Goodbye+Help+Emergency,Goodbye. I need your help. This is an emergency!
Goodbye+Help+Home,Goodbye. I need your assistance. I want to go home.
Goodbye+Stop+Hello,"Goodbye. Please wait right there. And hello."
Goodbye+Stop+Yes,"Goodbye. Please wait right there. And yes."
Goodbye+Stop+No,"Goodbye. Please stop. And no."
Goodbye+Stop+Please,Goodbye. Please halt. If you would.
Goodbye+Stop+ThankYou,Goodbye. Please wait right there. Thank you.
Goodbye+Stop+Sorry,Goodbye. Please stop. I am sorry.
Goodbye+Stop+Help,Goodbye. Please halt. I need your help.
Goodbye+Stop+Wait,Goodbye. Please stop. And hold on.
Goodbye+Stop+Hungry,Goodbye. Please wait right there. I need food.
Goodbye+Stop+Water,Goodbye. Please wait right there. I'm thirsty.
Goodbye+Stop+Pain,Goodbye. Please stop. I am in pain.
Goodbye+Stop+Emergency,Goodbye. Please stop. This is an emergency!
Goodbye+Stop+Home,Goodbye. Please halt. I want to go home.
Goodbye+Wait+Hello,"Goodbye. Please wait a moment. And hello."
Goodbye+Wait+Yes,"Goodbye. Please wait a moment. And yes."
Goodbye+Wait+No,"Goodbye. Give me a second. And no."
Goodbye+Wait+Please,Goodbye. Please hold on. If you would.
Goodbye+Wait+ThankYou,Goodbye. Please wait a moment. Thank you.
Goodbye+Wait+Sorry,Goodbye. Please wait a moment. I am sorry.
Goodbye+Wait+Help,Goodbye. Give me a second. I need your assistance.
Goodbye+Wait+Stop,Goodbye. Give me a second. And please stop.
Goodbye+Wait+Hungry,Goodbye. Give me a second. I need food.
Goodbye+Wait+Water,Goodbye. Please wait a moment. I need water.
Goodbye+Wait+Pain,Goodbye. Please wait a moment. I am in pain.
Goodbye+Wait+Emergency,Goodbye. Give me a second. This is an emergency!
Goodbye+Wait+Home,Goodbye. Please hold on. I want to go home.
Goodbye+Hungry+Hello,"Goodbye. I need food. And hello."
Goodbye+Hungry+Yes,"Goodbye. I'm hungry. And yes."
Goodbye+Hungry+No,"Goodbye. I need food. And no."
Goodbye+Hungry+Please,Goodbye. Please get me something to eat. If you would.
Goodbye+Hungry+ThankYou,Goodbye. Please get me something to eat. Thanks.
Goodbye+Hungry+Sorry,Goodbye. I need food. And I am sorry.
Goodbye+Hungry+Help,Goodbye. I'm hungry. And I need your assistance.
Goodbye+Hungry+Stop,Goodbye. I need food. And please stop.
Goodbye+Hungry+Wait,Goodbye. I'm hungry. And please hold on.
Goodbye+Hungry+Water,Goodbye. Please get me food. And also water.
Goodbye+Hungry+Pain,Goodbye. I need food. And I'm in pain.
Goodbye+Hungry+Emergency,Goodbye. I need food. And this is an emergency!
Goodbye+Hungry+Home,Goodbye. I'm hungry. And I want to go home.
Goodbye+Water+Hello,"Goodbye. I'm thirsty. And hello."
Goodbye+Water+Yes,"Goodbye. I need a drink. And yes."
Goodbye+Water+No,"Goodbye. I need water. And no."
Goodbye+Water+Please,"Goodbye. I need water. If you would, please."
Goodbye+Water+ThankYou,Goodbye. I'm thirsty. Thank you.
Goodbye+Water+Sorry,Goodbye. Please get me a drink. I apologize.
Goodbye+Water+Help,Goodbye. I need water. And I need your assistance.
Goodbye+Water+Stop,Goodbye. I'm thirsty. And please stop.
Goodbye+Water+Wait,Goodbye. Please get me a drink. And hold on.
Goodbye+Water+Hungry,Goodbye. I need water. And I'm also hungry.
Goodbye+Water+Pain,Goodbye. I need a drink. And I am in pain.
Goodbye+Water+Emergency,Goodbye. I need water. And this is an emergency!
Goodbye+Water+Home,Goodbye. Please get me a drink. And take me home.
Goodbye+Pain+Hello,"Goodbye. I am in pain. And hello."
Goodbye+Pain+Yes,"Goodbye. It hurts. And yes."
Goodbye+Pain+No,"Goodbye. I'm in pain. And no."
Goodbye+Pain+Please,"Goodbye. It hurts. If you would, please."
Goodbye+Pain+ThankYou,"Goodbye. I am suffering. Much appreciated."
Goodbye+Pain+Sorry,"Goodbye. It hurts. And I am sorry."
Goodbye+Pain+Help,"Goodbye. I'm in pain. Please help me."
Goodbye+Pain+Stop,"Goodbye. I am suffering. And please stop."
Goodbye+Pain+Wait,"Goodbye. I am in pain. And please hold on."
Goodbye+Pain+Hungry,Goodbye. It hurts. And I need food.
Goodbye+Pain+Water,Goodbye. It hurts. And I need a drink.
Goodbye+Pain+Emergency,Goodbye. It hurts. And this is an emergency!
Goodbye+Pain+Home,Goodbye. I'm in pain. And I want to go home.
Goodbye+Emergency+Hello,"Goodbye. This is an emergency! And hello."
Goodbye+Emergency+Yes,"Goodbye. This is urgent! And yes."
Goodbye+Emergency+No,"Goodbye. This is an emergency! And no."
Goodbye+Emergency+Please,"Goodbye. This is an emergency! Please, if you would."
Goodbye+Emergency+ThankYou,"Goodbye. This is urgent! Thank you."
Goodbye+Emergency+Sorry,"Goodbye. This is an emergency! And I am sorry."
Goodbye+Emergency+Help,"Goodbye. This is urgent! Please help me."
Goodbye+Emergency+Stop,"Goodbye. This is an emergency! Please wait right there."
Goodbye+Emergency+Wait,"Goodbye. This is an emergency! Please hold on."
Goodbye+Emergency+Hungry,Goodbye. This is an emergency! And I need food.
Goodbye+Emergency+Water,Goodbye. This is an emergency! And I need a drink.
Goodbye+Emergency+Pain,Goodbye. This is urgent! And I am in pain.
Goodbye+Emergency+Home,Goodbye. This is an emergency! And take me home.
Goodbye+Home+Hello,"Goodbye. Let's go home. And hello."
Goodbye+Home+Yes,"Goodbye. I want to go home. And yes."
Goodbye+Home+No,"Goodbye. Take me home. And no."
Goodbye+Home+Please,Goodbye. Please take me home. If you would.
Goodbye+Home+ThankYou,Goodbye. Please take me home. Thank you.
Goodbye+Home+Sorry,Goodbye. Take me home. And I am sorry.
Goodbye+Home+Help,Goodbye. Let's go home. And I need your help.
Goodbye+Home+Stop,Goodbye. Take me home. And please stop.
Goodbye+Home+Wait,Goodbye. Let's go home. And hold on.
Goodbye+Home+Hungry,Goodbye. Take me home. And I need food.
Goodbye+Home+Water,Goodbye. Let's go home. And I'm thirsty.
Goodbye+Home+Pain,Goodbye. Take me home. And it hurts.
Goodbye+Home+Emergency,Goodbye. I want to go home. This is urgent!
Yes+Hello+Goodbye,"Yes, that is correct. Hello. And goodbye."
Yes+Hello+No,"Yes, that's right. Hello. And no to the other part."
Yes+Hello+Please,"Yes. Hello. And please, if you would."
Yes+Hello+ThankYou,"Yes. Hello. And thank you very much."
Yes+Hello+Sorry,"Yes. Hello. And I am sorry."
Yes+Hello+Help,"Yes. Hello. And I need your assistance."
Yes+Hello+Stop,"Yes. Hello. And please stop."
Yes+Hello+Wait,"Yes. Hello. And please give me a second."
Yes+Hello+Hungry,"Yes. Hello. And I am hungry."
Yes+Hello+Water,"Yes. Hello. And I need a drink."
Yes+Hello+Pain,"Yes. Hello. And I am in pain."
Yes+Hello+Emergency,"Yes. Hello. And this is an emergency!"
Yes+Hello+Home,"Yes. Hello. And I want to go home."
Yes+Goodbye+Hello,"Yes, that is correct. Goodbye. And hello."
Yes+Goodbye+No,"Yes. Goodbye. And no, that is incorrect."
Yes+Goodbye+Please,"Yes. Goodbye. And please, if you would."
Yes+Goodbye+ThankYou,"Yes. Goodbye. And thank you."
Yes+Goodbye+Sorry,"Yes. Goodbye. And I apologize."
Yes+Goodbye+Help,"Yes. Goodbye. And I need your help."
Yes+Goodbye+Stop,"Yes. Goodbye. And please wait right there."
Yes+Goodbye+Wait,"Yes. Goodbye. And please hold on."
Yes+Goodbye+Hungry,"Yes. Goodbye. And I'm hungry."
Yes+Goodbye+Water,"Yes. Goodbye. And I'm thirsty."
Yes+Goodbye+Pain,"Yes. Goodbye. And I am in pain."
Yes+Goodbye+Emergency,"Yes. Goodbye. And this is urgent!"
Yes+Goodbye+Home,"Yes. Goodbye. And let's go home."
Yes+No+Hello,"Yes, that is correct. And no to that. Hello."
Yes+No+Goodbye,"Yes. And no. And goodbye for now."
Yes+No+Please,"Yes. And no. And please, if you would."
Yes+No+ThankYou,"Yes. And no. And thank you."
Yes+No+Sorry,"Yes. And no. And I am sorry."
Yes+No+Help,"Yes. And no. And I need your assistance."
Yes+No+Stop,"Yes. And no. And please stop."
Yes+No+Wait,"Yes. And no. And please hold on."
Yes+No+Hungry,"Yes. And no. And I need food."
Yes+No+Water,"Yes. And no. And I need water."
Yes+No+Pain,"Yes. And no. And it hurts."
Yes+No+Emergency,"Yes. And no. And this is an emergency!"
Yes+No+Home,"Yes. And no. And I want to go home."
Yes+Please+Hello,"Yes. If you would, please. And hello."
Yes+Please+Goodbye,"Yes. If you would, please. And goodbye."
Yes+Please+No,"Yes. Please. And no, that is incorrect."
Yes+Please+ThankYou,"Yes. If you would, please. And thank you."
Yes+Please+Sorry,"Yes. Please. And I am sorry."
Yes+Please+Help,"Yes. Please. And I need your help."
Yes+Please+Stop,"Yes. Please stop what you are doing."
Yes+Please+Wait,"Yes. Please wait a moment."
Yes+Please+Hungry,"Yes. Please, I need something to eat."
Yes+Please+Water,"Yes. Please, I'm very thirsty."
Yes+Please+Pain,"Yes. Please, I am in pain."
Yes+Please+Emergency,"Yes. Please, this is an emergency!"
Yes+Please+Home,"Yes. Please take me home."
Yes+ThankYou+Hello,"Yes. Thank you. And hello."
Yes+ThankYou+Goodbye,"Yes. Thanks. And goodbye."
Yes+ThankYou+No,"Yes. Thank you. And no, that is incorrect."
Yes+ThankYou+Please,"Yes. Thanks. And if you would, please."
Yes+ThankYou+Sorry,"Yes. Much appreciated. And I am sorry."
Yes+ThankYou+Help,"Yes. Much appreciated. And I need your assistance."
Yes+ThankYou+Stop,"Yes. Thank you. And please halt."
Yes+ThankYou+Wait,"Yes. Much appreciated. And please hold on."
Yes+ThankYou+Hungry,"Yes. Much appreciated. And I need food."
Yes+ThankYou+Water,"Yes. Much appreciated. And I need a drink."
Yes+ThankYou+Pain,"Yes. Thank you. And it hurts."
Yes+ThankYou+Emergency,"Yes. Much appreciated. And this is an emergency!"
Yes+ThankYou+Home,"Yes. Thank you. And I want to go home."
Yes+Sorry+Hello,"Yes. I am sorry. And hello."
Yes+Sorry+Goodbye,"Yes. My apologies. And goodbye."
Yes+Sorry+No,"Yes. I'm sorry. And no."
Yes+Sorry+Please,"Yes. My apologies. If you would, please."
Yes+Sorry+ThankYou,"Yes. I'm sorry. And thank you."
Yes+Sorry+Help,"Yes. I apologize. And I need your help."
Yes+Sorry+Stop,"Yes. My apologies. And please wait right there."
Yes+Sorry+Wait,"Yes. I'm sorry. And please give me a second."
Yes+Sorry+Hungry,"Yes. I apologize. And I need food."
Yes+Sorry+Water,"Yes. I'm sorry. And I need a drink."
Yes+Sorry+Pain,"Yes. My apologies. And it hurts."
Yes+Sorry+Emergency,"Yes. I'm sorry. And this is an emergency!"
Yes+Sorry+Home,"Yes. I apologize. And let's go home."
Yes+Help+Hello,"Yes. I need your assistance. And hello."
Yes+Help+Goodbye,"Yes. Please help me. And goodbye."
Yes+Help+No,"Yes. I need assistance. And no."
Yes+Help+Please,"Yes. Please help me. If you would."
Yes+Help+ThankYou,"Yes. I need your help. Much appreciated."
Yes+Help+Sorry,"Yes. I need assistance. And I am sorry."
Yes+Help+Stop,"Yes. Please assist me. And stop."
Yes+Help+Wait,"Yes. I need your help. And wait a moment."
Yes+Help+Hungry,"Yes. Please assist me. I'm hungry."
Yes+Help+Water,"Yes. I need your help. I need a drink."
Yes+Help+Pain,"Yes. Please help me. It hurts."
Yes+Help+Emergency,"Yes. I need your assistance. This is an emergency!"
Yes+Help+Home,"Yes. I need your help. I want to go home."
Yes+Stop+Hello,"Yes. Please wait right there. And hello."
Yes+Stop+Goodbye,"Yes. Please wait right there. And goodbye."
Yes+Stop+No,"Yes. Please stop. And no."
Yes+Stop+Please,"Yes. Please wait right there. If you would."
Yes+Stop+ThankYou,"Yes. Please halt. Thank you."
Yes+Stop+Sorry,"Yes. Please wait right there. And I am sorry."
Yes+Stop+Help,"Yes. Please wait right there. I need your help."
Yes+Stop+Wait,"Yes. Please stop. And wait a moment."
Yes+Stop+Hungry,"Yes. Please stop. I need food."
Yes+Stop+Water,"Yes. Please wait right there. I need a drink."
Yes+Stop+Pain,"Yes. Please wait right there. I'm in pain."
Yes+Stop+Emergency,"Yes. Please wait right there. This is an emergency!"
Yes+Stop+Home,"Yes. Please wait right there. I want to go home."
Yes+Wait+Hello,"Yes. Please hold on. And hello."
Yes+Wait+Goodbye,"Yes. Please wait a moment. And goodbye."
Yes+Wait+No,"Yes. Please wait a moment. And no."
Yes+Wait+Please,"Yes. Please hold on. If you would."
Yes+Wait+ThankYou,"Yes. Please wait a moment. Much appreciated."
Yes+Wait+Sorry,"Yes. Please hold on. And I am sorry."
Yes+Wait+Help,"Yes. Please wait a moment. I need your help."
Yes+Wait+Stop,"Yes. Please wait a moment. And please stop."
Yes+Wait+Hungry,"Yes. Give me a second. I need food."
Yes+Wait+Water,"Yes. Please wait a moment. I'm thirsty."
Yes+Wait+Pain,"Yes. Give me a second. I am in pain."
Yes+Wait+Emergency,"Yes. Give me a second. This is an emergency!"
Yes+Wait+Home,"Yes. Please wait a moment. I want to go home."
Yes+Hungry+Hello,"Yes. I'm hungry. And hello."
Yes+Hungry+Goodbye,"Yes. I need food. And goodbye."
Yes+Hungry+No,"Yes. I'm hungry. And no."
Yes+Hungry+Please,"Yes. I need food. Please, if you would."
Yes+Hungry+ThankYou,"Yes. I'm hungry. And thank you."
Yes+Hungry+Sorry,"Yes. I need food. And I am sorry."
Yes+Hungry+Help,"Yes. I need food. And I need your assistance."
Yes+Hungry+Stop,"Yes. I need food. And please stop."
Yes+Hungry+Wait,"Yes. Please get me something to eat. And hold on."
Yes+Hungry+Water,"Yes. I'm hungry. And I also need water."
Yes+Hungry+Pain,"Yes. I'm hungry. And I am in pain."
Yes+Hungry+Emergency,"Yes. I'm hungry. And this is an emergency!"
Yes+Hungry+Home,"Yes. I need food. And I want to go home."
Yes+Water+Hello,"Yes. I need water. And hello."
Yes+Water+Goodbye,"Yes. I'm thirsty. And goodbye."
Yes+Water+No,"Yes. I need a drink. And no."
Yes+Water+Please,"Yes. Please get me a drink. If you would."
Yes+Water+ThankYou,"Yes. Please get me a drink. Thank you."
Yes+Water+Sorry,"Yes. I'm thirsty. And I apologize."
Yes+Water+Help,"Yes. I'm thirsty. And I need your help."
Yes+Water+Stop,"Yes. Please get me a drink. And stop."
Yes+Water+Wait,"Yes. I'm thirsty. And wait a moment."
Yes+Water+Hungry,"Yes. I need water. And I also need food."
Yes+Water+Pain,"Yes. I need water. And it hurts."
Yes+Water+Emergency,"Yes. I need water. And this is an emergency!"
Yes+Water+Home,"Yes. I need water. And I want to go home."
Yes+Pain+Hello,"Yes. It hurts. And hello."
Yes+Pain+Goodbye,"Yes. I am in pain. And goodbye."
Yes+Pain+No,"Yes. It hurts. And no."
Yes+Pain+Please,"Yes. I am in pain. If you would, please."
Yes+Pain+ThankYou,"Yes. I'm in pain. Thank you."
Yes+Pain+Sorry,"Yes. I am suffering. And I am sorry."
Yes+Pain+Help,"Yes. It hurts. Please help me."
Yes+Pain+Stop,"Yes. I am in pain. And please stop."
Yes+Pain+Wait,"Yes. I'm in pain. And please give me a second."
Yes+Pain+Hungry,"Yes. I am suffering. And I need food."
Yes+Pain+Water,"Yes. I am in pain. And I need a drink."
Yes+Pain+Emergency,"Yes. It hurts. And this is an emergency!"
Yes+Pain+Home,"Yes. It hurts. And I want to go home."
Yes+Emergency+Hello,"Yes. This is an emergency! And hello."
Yes+Emergency+Goodbye,"Yes. This is urgent! And goodbye."
Yes+Emergency+No,"Yes. This is an emergency! And no."
Yes+Emergency+Please,"Yes. This is urgent! Please, if you would."
Yes+Emergency+ThankYou,"Yes. This is an emergency! Thank you."
Yes+Emergency+Sorry,"Yes. This is urgent! And I am sorry."
Yes+Emergency+Help,"Yes. This is an emergency! I need your help."
Yes+Emergency+Stop,"Yes. This is urgent! Please wait right there."
Yes+Emergency+Wait,"Yes. This is an emergency! Please hold on."
Yes+Emergency+Hungry,"Yes. This is urgent! And I'm hungry."
Yes+Emergency+Water,"Yes. This is an emergency! And I'm thirsty."
Yes+Emergency+Pain,"Yes. This is urgent! And I am in pain."
Yes+Emergency+Home,"Yes. This is an emergency! And take me home."
Yes+Home+Hello,"Yes. Let's go home. And hello."
Yes+Home+Goodbye,"Yes. Take me home. And goodbye."
Yes+Home+No,"Yes. I want to go home. And no."
Yes+Home+ThankYou,"Yes. Please take me home. Thanks."
Yes+Home+Sorry,"Yes. Take me home. And I am sorry."
Yes+Home+Help,"Yes. Let's go home. And I need your help."
Yes+Home+Stop,"Yes. I want to go home. And please wait right there."
Yes+Home+Wait,"Yes. Please take me home. And hold on."
